,latitude,longitude
530,37.53254892,127.0286664
531,37.51145142,127.0317043
532,37.51537068,127.0660968
533,37.51829923,127.0466259
534,37.52240122,127.0374306
535,37.5181231,127.0463014
536,37.52088056,127.0570466
537,37.52065127,127.0303445
538,37.46553413,127.1012867
539,37.47194649,127.1069659
540,37.49535069,127.0554494
541,37.50710616,127.0469905
542,37.50787071,127.0457129
543,37.48520468,127.0813308
544,37.48594437,127.0456721
545,37.48609702,127.0455668
546,37.48732112,127.0706267
547,37.51167634,127.0258937
548,37.51265422,127.0269545
549,37.49658404,127.0597327
550,37.49763607,127.0591936
551,37.49724567,127.0593835
552,37.49710679,127.059466
553,37.4968264,127.059606
554,37.49264024,127.040659
555,37.49454811,127.0398734
556,37.49165475,127.0880464
557,37.49215284,127.0898839
558,37.49217216,127.0899961
559,37.49222005,127.0901513
560,37.49225001,127.0902439
561,37.49548946,127.0458558
562,37.48960563,127.0710854
563,37.48935262,127.071268
564,37.48894817,127.0714131
565,37.48884955,127.071521
566,37.48842538,127.0717712
567,37.488246,127.0720522
568,37.4880172,127.072395
569,37.48786999,127.0727108
570,37.49806447,127.058969
571,37.49773383,127.0591316
572,37.49784146,127.0581778
573,37.52506469,127.0216453
574,37.5242735,127.0222311
575,37.49284659,127.0772793
576,37.50090858,127.0261938
577,37.49136042,127.0307685
578,37.48676529,127.0330698
579,37.50776375,127.0590527
580,37.48464542,127.0929011
581,37.4881629,127.049644
582,37.48859694,127.0495874
583,37.48855022,127.0495243
584,37.48471615,127.0806691
585,37.48469528,127.0804892
586,37.48362399,127.079654
587,37.48344839,127.0797452
588,37.48307482,127.0798267
589,37.49203571,127.0889004
590,37.49216943,127.0888879
591,37.48299589,127.0798429
592,37.49252653,127.0887435
593,37.49239267,127.08881
594,37.49190319,127.089092
595,37.49134403,127.0880182
596,37.49747958,127.0727349
597,37.4972293,127.0467227
598,37.49783724,127.0486248
599,37.53025399,127.0415639
600,37.52950584,127.0412195
601,37.5293966,127.0412657
602,37.52912693,127.0410769
603,37.5252386,127.0215023
604,37.49736867,127.0471942
605,37.49738195,127.0473372
606,37.4985335,127.0509197
607,37.50992053,127.0397355
608,37.49847882,127.0507643
609,37.49839735,127.0504332
610,37.49842497,127.0509057
611,37.48646469,127.0685945
612,37.49730347,127.0470847
613,37.49266974,127.034244
